country,country/region,select_investors,company_link,img_src,company,valuation_currency,valuation,funding,company_cleaned
United States,North America,Craft Ventures,https://www.crunchbase.com/organization/vendr,https://images.crunchbase.com/image/upload/t_cb-default-original/emxmpghf2qosd3goizbe,Vendr,B,1,216,VENDR
United States,North America,SoftBank Vision Fund,https://www.crunchbase.com/organization/vendr,https://images.crunchbase.com/image/upload/t_cb-default-original/emxmpghf2qosd3goizbe,Vendr,B,1,216,VENDR
United States,North America,Climate Investment,https://www.crunchbase.com/organization/software-motor-company,https://images.crunchbase.com/image/upload/t_cb-default-original/zipy1ytul3hhxtn4lryw,Turntide Technologies,B,1,266,TURNTIDE TECHNOLOGIES
United States,North America,BlackRock,https://www.crunchbase.com/organization/steelhouse,https://images.crunchbase.com/image/upload/t_cb-default-original/myj2cxlury2etrtu9mvw,MNTN,B,1,186,MNTN
United States,North America,Fidelity,https://www.crunchbase.com/organization/steelhouse,https://images.crunchbase.com/image/upload/t_cb-default-original/myj2cxlury2etrtu9mvw,MNTN,B,1,186,MNTN
United States,North America,Sequoia Capital,https://www.crunchbase.com/organization/thatgamecompany,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",thatgamecompany,B,1,189,THATGAMECOMPANY
United States,North America,TPG,https://www.crunchbase.com/organization/thatgamecompany,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",thatgamecompany,B,1,189,THATGAMECOMPANY
China,Asia,Caitong Capital,https://www.crunchbase.com/organization/zongmu,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Zongmu,B,1,376,ZONGMU
China,Asia,Dongyang State-Owned Assets Investment,https://www.crunchbase.com/organization/zongmu,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Zongmu,B,1,376,ZONGMU
China,Asia,Sequoia Capital China,https://www.crunchbase.com/organization/shenzhen-yunyingu-technology,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Yunyinggu,B,1,121,YUNYINGGU
