country,country/region,select_investors,company_link,img_src,company,valuation_currency,valuation,funding,company_cleaned
United States,North America,Insight Partners,https://www.crunchbase.com/organization/quantum-metric,https://images.crunchbase.com/image/upload/t_cb-default-original/z90agv2oycklmbxevcfs,Quantum Metric,B,1,226,QUANTUM METRIC
China,Asia,Eastern Bell Capital,https://www.crunchbase.com/organization/fxiaoke-com,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",FXiaoKe,B,1,388,FXIAOKE
United States,North America,TTV Capital,https://www.crunchbase.com/organization/smartasset,https://images.crunchbase.com/image/upload/t_cb-default-original/r13yqcmdutw44dytiwxc,SmartAsset,B,1,161,SMARTASSET
United States,North America,T. Rowe Price,https://www.crunchbase.com/organization/lookout,https://images.crunchbase.com/image/upload/t_cb-default-original/fqusv0otpnp7nye8meut,Lookout,B,1,282,LOOKOUT
United States,North America,TPG Capital Asia,https://www.crunchbase.com/organization/fractal-analytics,https://images.crunchbase.com/image/upload/t_cb-default-original/oaykta8fdygi9osbxnxo,Fractal,B,1,685,FRACTAL
China,Asia,China CITIC Bank,https://www.crunchbase.com/organization/yongche,https://images.crunchbase.com/image/upload/t_cb-default-original/wefv0kkt1o5znup425gn,Yidao Yongche,B,1,790,YIDAO YONGCHE
China,Asia,Advantech Capital,https://www.crunchbase.com/organization/xiaozhu-com,https://images.crunchbase.com/image/upload/t_cb-default-original/ovjrxscizofywuq82i3l,Xiaozhu.com,B,1,572,XIAOZHU.COM
China,Asia,YF Capital,https://www.crunchbase.com/organization/xiaozhu-com,https://images.crunchbase.com/image/upload/t_cb-default-original/ovjrxscizofywuq82i3l,Xiaozhu.com,B,1,572,XIAOZHU.COM
China,Asia,E Fund Management Co.,https://www.crunchbase.com/organization/qulian-technology,https://images.crunchbase.com/image/upload/t_cb-default-original/ghouo1r7rfogkwcla63g,Hyperchain Technologies,B,1,250,HYPERCHAIN TECHNOLOGIES
China,Asia,LTD.,https://www.crunchbase.com/organization/qulian-technology,https://images.crunchbase.com/image/upload/t_cb-default-original/ghouo1r7rfogkwcla63g,Hyperchain Technologies,B,1,250,HYPERCHAIN TECHNOLOGIES
China,Asia,Yao Capital,https://www.crunchbase.com/organization/moviebook-co,https://images.crunchbase.com/image/upload/t_cb-default-original/w8hgd7ftiq3geimcxnjt,Moviebook,B,1,302,MOVIEBOOK
Hong Kong,Asia,Bessemer Venture Partners,https://www.crunchbase.com/organization/klook,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",KLOOK,B,1,932,KLOOK
United States,North America,Addition,https://www.crunchbase.com/organization/anyscale,https://images.crunchbase.com/image/upload/t_cb-default-original/torqy3b9rivdjychjqem,Anyscale,B,1,259,ANYSCALE
United States,North America,Intel Capital,https://www.crunchbase.com/organization/anyscale,https://images.crunchbase.com/image/upload/t_cb-default-original/torqy3b9rivdjychjqem,Anyscale,B,1,259,ANYSCALE
China,Asia,Shandong Green Development Fund,https://www.crunchbase.com/organization/energy-chain,https://images.crunchbase.com/image/upload/t_cb-default-original/cxygksu57dhqlsrordsv,Newlink,B,1,699,NEWLINK
China,Asia,Morgan Stanley Venture Partners,https://www.crunchbase.com/organization/tenglong-holding-group,https://images.crunchbase.com/image/upload/t_cb-default-original/n0ety9cof4srzdurl0q3,Tenglong Holding Group,B,1,4,TENGLONG HOLDING GROUP
China,Asia,Nanshan Capital,https://www.crunchbase.com/organization/tenglong-holding-group,https://images.crunchbase.com/image/upload/t_cb-default-original/n0ety9cof4srzdurl0q3,Tenglong Holding Group,B,1,4,TENGLONG HOLDING GROUP
China,Asia,Chengwei Capital,https://www.crunchbase.com/organization/apus,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",APUS Group,B,1,116,APUS GROUP
China,Asia,Qiming Venture Partners,https://www.crunchbase.com/organization/apus,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",APUS Group,B,1,116,APUS GROUP
China,Asia,Gaw Capital Partners,https://www.crunchbase.com/organization/tencent-trusted-doctors,https://images.crunchbase.com/image/upload/t_cb-default-original/uhze1pnnhoqbmafv1ohp,Tencent Trusted Doctors,B,1,255,TENCENT TRUSTED DOCTORS
China,Asia,Sequoia Capital China,https://www.crunchbase.com/organization/tencent-trusted-doctors,https://images.crunchbase.com/image/upload/t_cb-default-original/uhze1pnnhoqbmafv1ohp,Tencent Trusted Doctors,B,1,255,TENCENT TRUSTED DOCTORS
United States,North America,Accomplice,https://www.crunchbase.com/organization/orchardhomes,https://images.crunchbase.com/image/upload/t_cb-default-original/vkdxiaslvfubg9qh5v9n,Orchard,B,1,252,ORCHARD
Germany,Europe,Qatar Investment Authority,https://www.crunchbase.com/organization/infarm,https://images.crunchbase.com/image/upload/t_cb-default-original/bdgk3evouwj0penv69nr,Infarm,B,1,600,INFARM
United States,North America,Clearlake Capital Group,https://www.crunchbase.com/organization/investcloud,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",InvestCloud,B,1,54,INVESTCLOUD
United States,North America,Motive Partners,https://www.crunchbase.com/organization/investcloud,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",InvestCloud,B,1,54,INVESTCLOUD
